city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,Hofn,64.25,-15.21,39.79,76,38,3.47,IS,1587672251
221,Sioni,41.99,45.02,46.4,70,90,13.87,GE,1587672251
222,Charters Towers,-20.1,146.27,67.19,86,0,6.02,AU,1587672252
223,Severo-Kuril'sk,50.68,156.12,33.08,94,100,12.28,RU,1587672252
224,Port Moresby,-9.44,147.18,77.0,94,40,5.82,PG,1587672252
225,Amga,60.9,131.96,24.94,93,0,1.9,RU,1587672252
226,Pallasovka,50.05,46.88,39.69,71,91,14.25,RU,1587672252
227,Pokhara,28.23,83.98,59.88,41,80,3.33,NP,1587672025
228,Nome,64.5,-165.41,30.99,63,1,9.17,US,1587672126
229,Chapais,49.78,-74.85,26.6,49,75,12.75,CA,1587672253
230,Conde,-7.26,-34.91,84.2,74,40,10.29,BR,1587672029
231,Hualmay,-11.1,-77.61,74.41,61,2,8.55,PE,1587672253
232,São Miguel do Araguaia,-13.28,-50.16,76.64,80,62,1.59,BR,1587672253
233,Kruisfontein,-34.0,24.73,56.01,84,100,3.89,ZA,1587672254
234,Tomatlán,19.93,-105.25,85.96,42,82,9.1,MX,1587672254
235,Östersund,63.18,14.64,37.4,72,98,11.41,SE,1587672254
236,San Quintín,30.48,-115.95,74.12,47,0,10.18,MX,1587672254
237,Sovetskiy,61.36,63.58,27.55,89,20,6.87,RU,1587672254
238,Nikolskoye,59.7,30.79,37.4,51,100,4.47,RU,1587672254
239,Karlskrona,56.16,15.59,59.0,38,100,5.82,SE,1587672255
240,Saint-Michel-des-Saints,46.68,-73.92,33.62,73,1,10.07,CA,1587672255
241,San Javier,37.81,-0.84,66.99,82,75,6.93,ES,1587671958
242,Kermanshah,34.31,47.06,62.6,63,75,6.93,IR,1587672255
243,Saldanha,-33.01,17.94,66.2,63,100,3.36,ZA,1587672255
244,Sheridan,44.83,-106.92,60.8,38,20,14.99,US,1587672256
245,Tegul'det,57.31,88.17,59.65,61,100,6.06,RU,1587672256
246,Swan Hill,-35.34,143.55,56.82,94,14,5.14,AU,1587672256
247,Coquimbo,-29.95,-71.34,62.6,77,75,6.93,CL,1587672256
248,Champerico,14.3,-91.92,95.0,53,40,9.17,GT,1587672256
249,Lagoa,39.05,-27.98,60.12,82,100,7.81,PT,1587672256
250,Banjarmasin,-3.32,114.59,76.28,91,100,1.68,ID,1587671994
251,Pevek,69.7,170.31,16.36,89,0,4.61,RU,1587672257
252,Torres Vedras,39.09,-9.26,59.0,82,20,5.82,PT,1587672257
253,Esperance,-33.87,121.9,59.0,87,100,8.05,AU,1587672257
254,Bengkulu,-3.8,102.27,78.53,81,100,4.81,ID,1587672114
255,Prince Rupert,54.32,-130.32,46.4,78,90,5.82,CA,1587672257
256,Sanmenxia,34.77,111.18,45.16,35,0,2.33,CN,1587672257
257,Mount Isa,-20.73,139.5,69.8,28,0,3.36,AU,1587672258
258,Paita,-5.09,-81.11,87.8,45,1,14.99,PE,1587672258
259,Nogliki,51.83,143.17,27.72,97,100,17.9,RU,1587672258
260,Dukat,62.55,155.55,15.98,90,92,2.98,RU,1587672258
261,Wawa,9.9,4.42,87.22,54,91,7.94,NG,1587672259
262,Flinders,-34.58,150.86,66.99,57,47,1.01,AU,1587672259
263,Vila,42.03,-8.16,60.01,76,96,8.05,PT,1587672259
264,Lamu,-2.27,40.9,82.24,78,100,12.03,KE,1587672259
265,Jumla,29.27,82.18,44.96,34,88,2.42,NP,1587672259
266,Khani,41.96,42.96,46.4,87,75,6.93,GE,1587672259
267,Mahébourg,-20.41,57.7,75.2,88,75,8.05,MU,1587672260
268,Laguna,38.42,-121.42,82.0,32,1,10.29,US,1587672260
269,Iquique,-20.22,-70.14,71.6,56,0,11.41,CL,1587672260
270,Mindelo,16.89,-24.98,75.2,60,20,26.4,CV,1587672260
271,Yulara,-25.24,130.99,75.2,33,0,6.93,AU,1587672069
272,Birao,10.28,22.79,82.18,21,11,2.95,CF,1587672260
273,Fengrun,39.83,118.12,46.87,41,0,7.61,CN,1587672261
274,Avsyunino,55.57,39.12,35.6,55,69,4.47,RU,1587672261
275,Masallātah,32.62,14.0,59.16,77,2,10.8,LY,1587672261
276,Khovd,48.01,91.64,45.77,26,6,4.76,MN,1587672261
277,Umm Kaddadah,13.6,26.69,80.02,11,15,11.54,SD,1587672261
278,Impfondo,1.64,18.07,77.49,69,11,2.01,CG,1587672261
279,Kangaatsiaq,68.31,-53.46,29.3,96,89,8.16,GL,1587672262
280,Uchaly,54.3,59.45,28.92,80,0,10.92,RU,1587672262
281,Pochutla,15.74,-96.47,91.4,49,75,28.86,MX,1587672262
282,Atar,20.52,-13.05,81.61,14,0,8.59,MR,1587672262
283,Krasnosel'kup,65.7,82.47,36.45,90,100,17.87,RU,1587672262
284,Geraldton,-28.77,114.6,62.6,88,64,8.05,AU,1587672262
285,Tarko-Sale,64.92,77.78,36.0,93,0,17.49,RU,1587672263
286,Viljoenskroon,-27.21,26.95,61.59,28,4,3.31,ZA,1587672263
287,Ayan,56.45,138.17,26.78,95,100,15.64,RU,1587672263
288,Āsosa,10.07,34.53,72.05,19,13,1.39,ET,1587672263
289,Arenápolis,-14.45,-56.85,80.78,69,98,2.86,BR,1587672263
290,Akureyri,65.68,-18.09,50.0,46,0,10.29,IS,1587672263
291,Los Llanos de Aridane,28.66,-17.92,66.2,72,40,16.11,ES,1587672211
292,Vredendal,-31.67,18.5,67.21,75,100,4.61,ZA,1587672264
293,Pacific Grove,36.62,-121.92,70.0,77,40,6.93,US,1587672101
294,Portland,45.52,-122.68,59.0,62,90,4.7,US,1587672012
295,The Valley,18.22,-63.06,87.8,61,20,14.99,AI,1587672264
296,Olafsvik,64.89,-23.71,43.63,84,60,14.81,IS,1587672264
297,Half Moon Bay,37.46,-122.43,75.99,68,40,6.93,US,1587672264
298,Selikhino,50.37,137.5,26.02,91,100,8.9,RU,1587672265
299,Richards Bay,-28.78,32.04,70.97,85,43,3.65,ZA,1587672265
300,Banyo,6.75,11.82,70.5,62,81,1.68,CM,1587672265
301,Nyimba,-14.56,30.81,65.1,61,8,5.46,ZM,1587672265
